"FileName","Path","MissingImports","Placeholders","SuggestedFixes"
"route.ts","D:\cbtc-final\cbtc-lms\app\api\auth\login\route.ts",".\/lib/supabase-server","",""
"route.ts","D:\cbtc-final\cbtc-lms\app\api\auth\register\route.ts",".\/lib/supabase","",""
"route.ts","D:\cbtc-final\cbtc-lms\app\api\courses\route.ts",".\/lib/supabase","",""
"route.ts","D:\cbtc-final\cbtc-lms\app\api\debug\final-audit\route.ts",".\/lib/supabase","",""
"route.ts","D:\cbtc-final\cbtc-lms\app\api\debug\full-audit\route.ts",".\/lib/supabase","",""
"route.ts","D:\cbtc-final\cbtc-lms\app\api\debug\health-check\route.ts",".\/lib/supabase","",""
"route.ts","D:\cbtc-final\cbtc-lms\app\api\enrollments\route.ts",".\/lib/supabase","",""
"route.ts","D:\cbtc-final\cbtc-lms\app\api\friction-data\route.ts",".\/lib/supabase","",""
"route.ts","D:\cbtc-final\cbtc-lms\app\api\health\route.ts",".\/lib/supabase-server","",""
"route.ts","D:\cbtc-final\cbtc-lms\app\api\inflate-questions\route.ts",".\/lib/supabase","",""
"route.ts","D:\cbtc-final\cbtc-lms\app\api\modules\route.ts",".\/lib/supabase","",""
"route.ts","D:\cbtc-final\cbtc-lms\app\api\payments\b2b\employees\route.ts","../../../lib/payment/b2b","",""
"route.ts","D:\cbtc-final\cbtc-lms\app\api\payments\b2b\route.ts","../../../lib/payment/b2b","",""
"route.ts","D:\cbtc-final\cbtc-lms\app\api\payments\student\route.ts","../../../lib/payment/payments","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\certificate\page.tsx",".\/components/Logo","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\certification\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\dashboard\b2b\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\diagnostic\upload\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\diagnostic\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\login\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\modules\fluency\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\modules\fundamentals\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\modules\logic\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\portal\page.tsx",".\/components/TopNav; .\/components/portal/MilestoneForecast","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\reports\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\reset-password\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\student\assessment\module-1\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\student\assessment\module-2\voice-audit\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\student\certification\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\student\dashboard\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\student\final-exam\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\student\glossary\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\student\portal\page.tsx",".\/components/TopNav; .\/components/portal/MilestoneForecast","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\trainer\analytics\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\trainer\ingestion\page.tsx",".\/components/TopNav","",""
"page.tsx","D:\cbtc-final\cbtc-lms\app\trainer\page.tsx",".\/components/TopNav","",""
"layout.tsx","D:\cbtc-final\cbtc-lms\app\layout.tsx","./globals.css","",""
"VaultExplorer.tsx","D:\cbtc-final\cbtc-lms\components\admin\VaultExplorer.tsx","../.@/lib/supabase","",""
"StudentDashboardUI.tsx","D:\cbtc-final\cbtc-lms\components\StudentDashboardUI.tsx","./MilestoneForecast","",""
"page.tsx","D:\cbtc-final\cbtc-lms\conflict_backups\admin\reports\page.tsx","../.@/components/admin/OptimizationCard","",""
"trainerAnalytics.ts","D:\cbtc-final\cbtc-lms\conflict_backups\trainer\trainerAnalytics.ts","./pathMappingEngine","",""
"fs.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.scandir\out\adapters\fs.d.ts","../types","",""
"async.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.scandir\out\providers\async.d.ts","../settings; ../types","",""
"sync.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.scandir\out\providers\sync.d.ts","../settings; ../types","",""
"fs.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.scandir\out\utils\fs.d.ts","../types","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.scandir\out\utils\index.d.ts","./fs","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.scandir\out\index.d.ts","./adapters/fs; ./providers/async; ./settings; ./types","",""
"settings.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.scandir\out\settings.d.ts","./adapters/fs","",""
"fs.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.stat\out\adapters\fs.d.ts","../types","",""
"async.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.stat\out\providers\async.d.ts","../settings; ../types","",""
"sync.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.stat\out\providers\sync.d.ts","../settings; ../types","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.stat\out\index.d.ts","./adapters/fs; ./providers/async; ./settings; ./types","",""
"settings.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.stat\out\settings.d.ts","./adapters/fs","",""
"async.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.walk\out\providers\async.d.ts","../readers/async; ../settings; ../types","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.walk\out\providers\index.d.ts","./async; ./stream; ./sync","",""
"stream.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.walk\out\providers\stream.d.ts","../readers/async; ../settings","",""
"sync.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.walk\out\providers\sync.d.ts","../readers/sync; ../settings; ../types","",""
"async.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.walk\out\readers\async.d.ts","../settings; ../types; ./reader","",""
"common.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.walk\out\readers\common.d.ts","../settings; ../settings; ../types","",""
"reader.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.walk\out\readers\reader.d.ts","../settings","",""
"sync.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.walk\out\readers\sync.d.ts","../types; ./reader","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.walk\out\index.d.ts","./providers/async; ./settings; ./types","",""
"settings.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@nodelib\fs.walk\out\settings.d.ts","./types","",""
"ast.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@typescript-eslint\typescript-estree\node_modules\minimatch\dist\commonjs\ast.d.ts","./index.js","",""
"escape.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@typescript-eslint\typescript-estree\node_modules\minimatch\dist\commonjs\escape.d.ts","./index.js","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@typescript-eslint\typescript-estree\node_modules\minimatch\dist\commonjs\index.d.ts","./ast.js","",""
"unescape.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@typescript-eslint\typescript-estree\node_modules\minimatch\dist\commonjs\unescape.d.ts","./index.js","",""
"ast.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@typescript-eslint\typescript-estree\node_modules\minimatch\dist\esm\ast.d.ts","./index.js","",""
"escape.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@typescript-eslint\typescript-estree\node_modules\minimatch\dist\esm\escape.d.ts","./index.js","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@typescript-eslint\typescript-estree\node_modules\minimatch\dist\esm\index.d.ts","./ast.js","",""
"unescape.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@typescript-eslint\typescript-estree\node_modules\minimatch\dist\esm\unescape.d.ts","./index.js","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\@typescript-eslint\visitor-keys\node_modules\eslint-visitor-keys\dist\index.d.ts","./visitor-keys.js","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\eslint\node_modules\eslint-visitor-keys\dist\index.d.ts","./visitor-keys.js","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\espree\node_modules\eslint-visitor-keys\dist\index.d.ts","./visitor-keys.js","",""
"tasks.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\managers\tasks.d.ts","../settings; ../types","",""
"deep.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\providers\filters\deep.d.ts","../../types; ../../settings","",""
"entry.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\providers\filters\entry.d.ts","../../settings; ../../types","",""
"error.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\providers\filters\error.d.ts","../../settings; ../../types","",""
"matcher.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\providers\matchers\matcher.d.ts","../../types; ../../settings","",""
"partial.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\providers\matchers\partial.d.ts","./matcher","",""
"entry.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\providers\transformers\entry.d.ts","../../settings; ../../types","",""
"async.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\providers\async.d.ts","../managers/tasks; ../types; ../readers/async; ./provider","",""
"provider.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\providers\provider.d.ts","../managers/tasks; ../settings; ../types; ./filters/deep; ./filters/entry; ./filters/error; ./transformers/entry","",""
"stream.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\providers\stream.d.ts","../managers/tasks; ../readers/stream; ../types; ./provider","",""
"sync.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\providers\sync.d.ts","../managers/tasks; ../readers/sync; ../types; ./provider","",""
"async.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\readers\async.d.ts","../types; ./reader; ./stream","",""
"reader.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\readers\reader.d.ts","../settings; ../types","",""
"stream.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\readers\stream.d.ts","../types; ./reader","",""
"sync.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\readers\sync.d.ts","../types; ./reader","",""
"errno.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\utils\errno.d.ts","../types","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\utils\index.d.ts","./array; ./errno; ./fs; ./path; ./pattern; ./stream; ./string","",""
"path.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\utils\path.d.ts","../types","",""
"pattern.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\utils\pattern.d.ts","../types","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\index.d.ts","./managers/tasks; ./settings; ./types","",""
"settings.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\fast-glob\out\settings.d.ts","./types","",""
"ast.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\glob\node_modules\minimatch\dist\commonjs\ast.d.ts","./index.js","",""
"escape.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\glob\node_modules\minimatch\dist\commonjs\escape.d.ts","./index.js","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\glob\node_modules\minimatch\dist\commonjs\index.d.ts","./ast.js","",""
"unescape.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\glob\node_modules\minimatch\dist\commonjs\unescape.d.ts","./index.js","",""
"ast.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\glob\node_modules\minimatch\dist\esm\ast.d.ts","./index.js","",""
"escape.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\glob\node_modules\minimatch\dist\esm\escape.d.ts","./index.js","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\glob\node_modules\minimatch\dist\esm\index.d.ts","./ast.js","",""
"unescape.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\glob\node_modules\minimatch\dist\esm\unescape.d.ts","./index.js","",""
"get-page-static-info.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\next\dist\build\analysis\get-page-static-info.d.ts","../../server/config-shared; ../@/lib/load-custom-routes; ../webpack/loaders/get-module-build-info; ../@/lib/page-types","",""
"get-config.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\next\dist\build\babel\loader\get-config.d.ts","./types","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\next\dist\build\babel\loader\index.d.ts","./types","",""
"transform.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\next\dist\build\babel\loader\transform.d.ts","../../../trace; ./types","",""
"types.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\next\dist\build\babel\loader\types.d.ts","../../../trace","",""
"index.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\next\dist\build\swc\index.d.ts","../../server/config-shared; ../webpack/plugins/define-env-plugin; ../../server/api-utils","",""
"jest-transformer.d.ts","D:\cbtc-final\cbtc-lms\nodemodules\next\dist\build\swc\jest-transformer.d.ts","../../server/config-shared; ../load-jsconfig","",""
