"FileName","Type","Path","Status","Notes","Critical"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\readiness\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\readiness\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\readiness\components\mobile\SecureUpload.tsx","OK","","False"
"page.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\readiness\page.tsx","OK","","False"
"page.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\page.tsx","OK","","False"
"GodModeGuard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\components\auth\GodModeGuard.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\components\components\mobile\SecureUpload.tsx","OK","","False"
"admindashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\components\dashboard\admindashboard.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\components\mobile\SecureUpload.tsx","OK","","False"
"Sidebar.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\components\Sidebar.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\components\mobile\SecureUpload.tsx","OK","","False"
"Sidebar.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\components\Sidebar.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\inspect\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\inspect\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\inspect\components\mobile\SecureUpload.tsx","OK","","False"
"page.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\inspect\page.tsx","OK","","False"
"page.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\page.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\components\components\AdminDashboard.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\components\mobile\components\AdminDashboard.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\components\portal\components\AdminDashboard.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\components\AdminDashboard.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\mobile\components\AdminDashboard.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\mobile\SecureUpload.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\portal\components\AdminDashboard.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\AdminDashboard.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\mobile\components\AdminDashboard.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\mobile\SecureUpload.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\portal\components\AdminDashboard.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\AdminDashboard.tsx","OK","","False"
"page.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\page.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\integrity\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\integrity\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\integrity\components\mobile\SecureUpload.tsx","OK","","False"
"page.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\integrity\page.tsx","OK","","False"
"Sidebar.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\student\components\components\components\components\Sidebar.tsx","OK","","False"
"Sidebar.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\student\components\components\components\mobile\components\Sidebar.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\student\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"Sidebar.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\student\components\components\components\portal\components\Sidebar.tsx","OK","","False"
