"FileName","Type","Path","Status","Notes","Critical"
"","Folder","D:\cbtc-final\cbtc-lms\components\portal","OK","","False"
"","Folder","D:\cbtc-final\cbtc-lms\components\mobile","OK","","False"
"AdaptiveSidebar.tsx","UI Component","D:\cbtc-final\cbtc-lms\components\portal\AdaptiveSidebar.tsx","OK","","False"
"BillingModule.tsx","UI Component","D:\cbtc-final\cbtc-lms\components\portal\BillingModule.tsx","OK","","False"
"CompletionCertificate.tsx","UI Component","D:\cbtc-final\cbtc-lms\components\portal\CompletionCertificate.tsx","OK","","False"
"CoursePlayer.tsx","UI Component","D:\cbtc-final\cbtc-lms\components\portal\CoursePlayer.tsx","OK","","False"
"CurriculumMap.tsx","UI Component","D:\cbtc-final\cbtc-lms\components\portal\CurriculumMap.tsx","OK","","False"
"HandwritingUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\components\portal\HandwritingUpload.tsx","OK","","False"
"MilestoneForecast.tsx","UI Component","D:\cbtc-final\cbtc-lms\components\portal\MilestoneForecast.tsx","OK","","False"
"PlaceholderPortal.tsx","UI Component","D:\cbtc-final\cbtc-lms\components\portal\PlaceholderPortal.tsx","OK","","False"
"PortalDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\components\portal\PortalDashboard.tsx","OK","","False"
"PlaceholderMobile.tsx","UI Component","D:\cbtc-final\cbtc-lms\components\mobile\PlaceholderMobile.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\components\mobile\SecureUpload.tsx","OK","","False"
